Open,High,Low,Close
69.650002,69.849998,64.099998,65.5
66.050003,67.099998,64.599998,64.800003
63,68.449997,60.400002,67.599998
69.599998,70.5,66.300003,66.800003
65.849998,67.349998,65.099998,67.099998
69.699997,73.449997,69.599998,70.800003
70.099998,71,65.099998,66.099998
66.5,67.099998,64.699997,66.550003
65.199997,68.75,65.150002,66.25
65.25,67.900002,63.849998,67.650002
68,68.900002,65.5,66.900002
66.800003,68.199997,66.150002,66.900002
65.849998,66.25,64.25,65.150002
65.099998,65.199997,62.849998,64.199997
64.25,67.099998,63.150002,66
65,65.400002,63.450001,64.050003
66.400002,72.099998,65.5,70.699997
69.25,70.550003,67.599998,67.949997
72.5,74.599998,71.25,72.25
73.599998,75,73.199997,73.5
70.050003,71.650002,68.800003,69.849998
67.800003,68.150002,64.75,65.349998
65.099998,67.900002,65.050003,67.800003
70,72.300003,68.699997,69.949997
68.25,68.550003,66.050003,66.849998
69.599998,69.650002,65.599998,66.300003
